time,temperature_2m_max,temperature_2m_min,precipitation_sum
2016-10-10,29.4,23.8,0.7
2016-10-11,29.1,22.9,2.2
2016-10-12,30.8,24.7,2.2
2016-10-13,28.6,25.0,35.4
2016-10-14,29.7,24.6,25.2
2016-10-15,31.2,24.4,14.7
2016-10-16,32.3,24.9,3.6
2016-10-17,31.1,25.3,7.5
2016-10-18,31.7,25.0,0.2
2016-10-19,31.3,25.2,3.9
2016-10-20,29.9,25.0,11.0
2016-10-21,27.6,24.0,13.7
2016-10-22,28.5,24.3,7.3
2016-10-23,30.8,24.3,6.6
2016-10-24,31.0,23.6,0.9
2016-10-25,30.6,24.0,0.8
2016-10-26,31.0,24.7,2.8
2016-10-27,29.3,24.5,7.8
2016-10-28,31.3,24.4,2.4
2016-10-29,30.9,25.0,4.1
2016-10-30,29.8,24.7,6.3
2016-10-31,28.6,24.6,18.2
2016-11-01,30.5,24.8,20.3
2016-11-02,30.5,24.0,6.0
2016-11-03,29.9,24.2,18.3
2016-11-04,27.8,24.7,14.4
2016-11-05,30.9,24.6,0.9
2016-11-06,31.6,24.5,0.0
2016-11-07,31.0,23.5,0.1
2016-11-08,31.7,23.7,0.2
2016-11-09,30.4,24.8,0.4
2016-11-10,30.7,25.6,0.0
2016-11-11,30.3,24.6,1.5
2016-11-12,31.4,25.3,0.7
2016-11-13,31.1,24.9,3.9
2016-11-14,30.5,25.2,11.4
2016-11-15,30.6,24.7,1.9
2016-11-16,31.6,25.5,0.0
2016-11-17,31.9,25.0,0.0
2016-11-18,31.0,24.7,0.0
2016-11-19,30.6,24.8,1.7
2016-11-20,30.3,24.7,0.2
2016-11-21,30.5,24.3,0.0
2016-11-22,32.0,24.1,0.1
2016-11-23,30.9,25.5,0.2
2016-11-24,30.8,26.2,0.0
2016-11-25,30.7,24.7,0.4
2016-11-26,31.3,24.8,0.0
2016-11-27,31.3,24.5,0.0
2016-11-28,30.1,24.4,0.0
2016-11-29,30.0,23.8,0.0
2016-11-30,29.8,25.0,0.0
2016-12-01,29.2,20.2,6.8
2016-12-02,28.4,20.4,3.1
2016-12-03,31.6,22.8,4.5
2016-12-04,32.5,23.5,0.0
2016-12-05,32.1,24.1,0.0
2016-12-06,30.8,24.0,1.5
2016-12-07,31.0,24.2,1.5
2016-12-08,32.0,22.9,1.4
2016-12-09,31.9,24.2,0.7
2016-12-10,30.4,24.2,0.4
2016-12-11,30.8,23.7,0.7
2016-12-12,30.7,22.6,0.3
2016-12-13,29.4,23.4,1.6
2016-12-14,30.2,22.6,1.3
2016-12-15,33.2,23.2,0.0
2016-12-16,32.3,24.5,0.6
2016-12-17,32.3,23.6,0.8
2016-12-18,32.2,24.5,0.0
2016-12-19,32.5,24.2,0.0
2016-12-20,32.9,24.7,0.0
2016-12-21,33.2,24.2,0.1
2016-12-22,33.1,24.4,0.1
2016-12-23,32.8,24.6,0.0
2016-12-24,32.5,24.0,0.0
2016-12-25,30.8,25.5,0.2
2016-12-26,32.8,24.0,0.0
2016-12-27,32.8,24.8,0.0
